id,word,meaning,pos,level,dictionaryType,created_at,,,
1569,따스하다,Warm,형용사,C,koen,,,,
1570,딱,Exactly,부사,C,koen,,,,
1571,딱,Exactly,부사,B,koen,,,,
1572,딱딱하다,It's hard,형용사,C,koen,,,,
1573,딴,different,관형사,B,koen,,,,
1574,딸,daughter,명사,A,koen,,,,
1575,딸기,strawberry,명사,A,koen,,,,
1576,딸아이,daughter,명사,C,koen,,,,
1577,땀,sweat,명사,B,koen,,,,
1578,땅,earth,명사,B,koen,,,,
1579,땅바닥,ground,명사,C,koen,,,,
1580,땅속,bowels of the earth,명사,C,koen,,,,
1581,땅콩,peanut,명사,B,koen,,,,
1582,때,at the time,명사,A,koen,,,,
1583,때,at the time,명사,C,koen,,,,
1584,때때로,sometimes,부사,B,koen,,,,
1585,때로,Sometimes,부사,C,koen,,,,
1586,때리다,shellac,동사,C,koen,,,,
1587,때문,Because,의존 명사,A,koen,,,,
1588,땜,solder,의존 명사,B,koen,,,,
1589,떠나가다,Leave,동사,C,koen,,,,
1590,떠나다,leave,동사,A,koen,,,,
1591,떠나오다,Leave,동사,C,koen,,,,
1592,떠들다,lift,동사,B,koen,,,,
1593,떠들썩하다,Noisy,형용사,C,koen,,,,
1594,떠오르다,fly,동사,B,koen,,,,
1595,떠올리다,recall,동사,B,koen,,,,
1596,떡,rice cake,명사,A,koen,,,,
1597,떡국,tteokguk,명사,C,koen,,,,
1598,떡볶이,tteokbokki,명사,B,koen,,,,
1599,떨다,shiver,동사,B,koen,,,,
1600,떨리다,throb,동사,B,koen,,,,
1601,떨어뜨리다,drop,동사,B,koen,,,,
1602,떨어지다,get off,동사,B,koen,,,,
1603,떼,group,명사,C,koen,,,,
1604,떼다,cut,동사,B,koen,,,,
1605,또,also,부사,A,koen,,,,
1606,또는,or,부사,B,koen,,,,
1607,또다시,Again,부사,B,koen,,,,
1608,또한,also,부사,B,koen,,,,
1609,똑같다,It's the same,형용사,A,koen,,,,
1610,똑같이,Same,부사,B,koen,,,,
1611,똑똑하다,smart,형용사,B,koen,,,,
1612,똑바로,upright,부사,A,koen,,,,
1613,뚜껑,lid,명사,B,koen,,,,
1614,뚫다,bore,동사,C,koen,,,,
1615,뚱뚱하다,Fat,형용사,B,koen,,,,
1616,뛰놀다,Run around,동사,C,koen,,,,
1617,뛰다,pulsate,동사,A,koen,,,,
1618,뛰다,pulsate,동사,A,koen,,,,
1619,뛰어가다,Run,동사,C,koen,,,,
1620,뛰어나가다,Run out,동사,B,koen,,,,
1621,뛰어나다,excel,형용사,C,koen,,,,
1622,뛰어나오다,jump out,동사,C,koen,,,,
1623,뛰어내리다,jump down,동사,C,koen,,,,
1624,뛰어넘다,jump over,동사,C,koen,,,,
1625,뛰어놀다,Run around,동사,C,koen,,,,
1626,뛰어다니다,Run around,동사,B,koen,,,,
1627,뛰어들다,jump in,동사,B,koen,,,,
1628,뛰어오다,Run,동사,B,koen,,,,
1629,뛰어오르다,jump up,동사,C,koen,,,,
1630,뜨겁다,It's hot,형용사,A,koen,,,,
1631,뜨다,knit,동사,B,koen,,,,
1632,뜨다,knit,동사,C,koen,,,,
1633,뜨다,knit,동사,B,koen,,,,
1634,뜯다,tear off,동사,C,koen,,,,
1635,뜰,garden,명사,C,koen,,,,
1636,뜻,meaning,명사,B,koen,,,,
1637,뜻대로,As you wish,부사,C,koen,,,,
1638,뜻밖,unexpected,명사,C,koen,,,,
1639,뜻밖에,unexpectedly,부사,C,koen,,,,
1640,뜻하다,Meaning,동사,C,koen,,,,
1641,띄다,Space,동사,C,koen,,,,
1642,띄우다,ferment,동사,C,koen,,,,
1643,라디오,radio,명사,A,koen,,,,
1644,라면,ramen,명사,A,koen,,,,
1645,라운드,round,명사,C,koen,,,,
1646,라이벌,rival,명사,C,koen,,,,
1647,라이터,writer,명사,B,koen,,,,
1648,라인,line,명사,C,koen,,,,
1649,라켓,racket,명사,C,koen,,,,
1650,러시아,russia,고유 명사,A,koen,,,,
1651,런던,London,고유 명사,B,koen,,,,
1652,레몬,lemon,명사,B,koen,,,,
1653,레스토랑,restaurant,명사,B,koen,,,,
1654,레이저,laser,명사,C,koen,,,,
1655,레저,Leisure,명사,C,koen,,,,
1656,렌즈,lens,명사,B,koen,,,,
1657,로봇,robot,명사,C,koen,,,,
1658,로터리,Rotary,명사,C,koen,,,,
1659,리,lee,의존 명사,C,koen,,,,
1660,리그,league,명사,C,koen,,,,
1661,리듬,rhythm,명사,B,koen,,,,
1662,리터,liter,의존 명사,C,koen,,,,
1663,마구,harness,부사,B,koen,,,,
1664,마누라,wife,명사,C,koen,,,,
1665,마늘,garlic,명사,B,koen,,,,
1666,마당,yard,명사,C,koen,,,,
1667,마당,yard,의존 명사,C,koen,,,,
1668,마디,word,명사,C,koen,,,,
1669,마땅하다,It's appropriate,형용사,C,koen,,,,
1670,마라톤,marathon,명사,C,koen,,,,
1671,마련,provision,의존 명사,C,koen,,,,
1672,마련,provision,명사,C,koen,,,,
1673,마련되다,Be prepared,동사,B,koen,,,,
1674,마련하다,Prepare,동사,B,koen,,,,
1675,마루,Floor,명사,B,koen,,,,
1676,마르다,dry,동사,B,koen,,,,
1677,마리,number of animals,의존 명사,A,koen,,,,
1678,마무리,finish,명사,C,koen,,,,
1679,마사지,massage,명사,B,koen,,,,
1680,마시다,drink,동사,A,koen,,,,
1681,마약,drug,명사,C,koen,,,,
1682,마요네즈,mayonnaise,명사,C,koen,,,,
1683,마을,village,명사,B,koen,,,,
1684,마음,mind,명사,A,koen,,,,
1685,마음가짐,mental attitude,명사,C,koen,,,,
1686,마음껏,To your heart's content,부사,C,koen,,,,
1687,마음대로,as you please,부사,B,koen,,,,
1688,마음먹다,Make up your mind,동사,C,koen,,,,
1689,마음속,In my heart,명사,B,koen,,,,
1690,마음씨,nature,명사,C,koen,,,,
1691,마이크,mike,명사,C,koen,,,,
1692,마주,Face to face,부사,B,koen,,,,
1693,마주치다,encounter,동사,C,koen,,,,
1694,마중,Pick-up,명사,B,koen,,,,
1695,마지막,last,명사,A,koen,,,,
1696,마찬가지,sameness,명사,B,koen,,,,
1697,마찰,friction,명사,C,koen,,,,
1698,마치,like,부사,B,koen,,,,
1699,마치다,finish,동사,B,koen,,,,
1700,마침,Finally,부사,B,koen,,,,
1701,마침내,in the end,부사,B,koen,,,,
1702,마크,mark,명사,C,koen,,,,
1703,마흔,forty,수사,A,koen,,,,
1704,막,membrane,부사,B,koen,,,,
1705,막,membrane,부사,B,koen,,,,
1706,막걸리,Makgeolli,명사,C,koen,,,,
1707,막내,the youngest,명사,B,koen,,,,
1708,막다,obstruct,동사,B,koen,,,,
1709,막상,Actually,부사,C,koen,,,,
1710,막히다,foul,동사,B,koen,,,,
1711,만,only,의존 명사,C,koen,,,,
1712,만,only,의존 명사,C,koen,,,,
1713,만,only,관형사,A,koen,,,,
1714,만,only,수사,A,koen,,,,
1715,만,only,관형사,B,koen,,,,
1716,만나다,meet,동사,A,koen,,,,
1717,만남,meeting,명사,B,koen,,,,
1718,만두,dumpling,명사,B,koen,,,,
1719,만들다,make,동사,A,koen,,,,
1720,만들어지다,be made,동사,B,koen,,,,
1721,만만하다,Easy,형용사,C,koen,,,,
1722,만세,Viva,명사,C,koen,,,,
1723,만약,if,명사,B,koen,,,,
1724,만일,should,명사,B,koen,,,,
1725,만점,Full marks,명사,C,koen,,,,
1726,만족,content,명사,C,koen,,,,
1727,만족스럽다,I am satisfied,형용사,C,koen,,,,
1728,만족하다,satisfied,동사,B,koen,,,,
1729,만족하다,satisfied,형용사,B,koen,,,,
1730,만지다,touch,동사,B,koen,,,,
1731,만큼,by,의존 명사,B,koen,,,,
1732,만하다,be worth,보조 용언,C,koen,,,,
1733,만화,comic book,명사,B,koen,,,,
1734,만화가,cartoonist,명사,C,koen,,,,
1735,많다,There are many,형용사,A,koen,,,,
1736,많아지다,Increase,동사,B,koen,,,,
1737,많이,many,부사,A,koen,,,,
1738,말,word,명사,A,koen,,,,
1739,말,word,명사,B,koen,,,,
1740,말,word,의존 명사,B,koen,,,,
1741,말기,last period,명사,C,koen,,,,
1742,말다,roll,동사,C,koen,,,,
1743,말다,roll,동사,A,koen,,,,
1744,말다,roll,보조 용언,A,koen,,,,
1745,말리다,dry,동사,C,koen,,,,
1746,말리다,dry,동사,C,koen,,,,
1747,말씀,Words,명사,A,koen,,,,
1748,말씀드리다,Tell me,동사,B,koen,,,,
1749,말씀하다,speak,동사,A,koen,,,,
1750,말없이,Without saying a word,부사,C,koen,,,,
1751,말투,speech,명사,C,koen,,,,
1752,말하다,say,동사,A,koen,,,,
1753,맑다,Clear,형용사,A,koen,,,,
1754,맘,Mom,명사,C,koen,,,,
1755,맘대로,As you wish,부사,C,koen,,,,
1756,맛,taste,명사,A,koen,,,,
1757,맛보다,taste,동사,C,koen,,,,
1758,맛없다,It's tasteless,형용사,A,koen,,,,
1759,맛있다,it's good,형용사,A,koen,,,,
1760,망설이다,hesitate,동사,C,koen,,,,
1761,망원경,telescope,명사,C,koen,,,,
1762,망치다,spoil,동사,C,koen,,,,
1763,망하다,fall,동사,C,koen,,,,
1764,맞다,right,동사,B,koen,,,,
1765,맞다,right,동사,B,koen,,,,
1766,맞다,right,동사,B,koen,,,,
1767,맞서다,stand opposite each other,동사,B,koen,,,,
1768,맞은편,Opposite side,명사,B,koen,,,,
1769,맞이하다,welcome,동사,C,koen,,,,
1770,맞추다,adjust,동사,B,koen,,,,
1771,맡기다,entrust,동사,B,koen,,,,
1772,맡다,undertake,동사,B,koen,,,,
1773,맡다,undertake,동사,C,koen,,,,
1774,매,hawk,명사,C,koen,,,,
1775,매너,Manners,명사,C,koen,,,,
1776,매년,annually,부사,B,koen,,,,
1777,매다,tie,동사,B,koen,,,,
1778,매달,Every month,부사,C,koen,,,,
1779,매달다,suspend,동사,C,koen,,,,
1780,매달리다,Hang on,동사,C,koen,,,,
1781,매력,attractiveness,명사,B,koen,,,,
1782,매번,Every time,부사,C,koen,,,,
1783,매스컴,mass media,명사,C,koen,,,,
1784,매우,very,부사,A,koen,,,,
1785,매일,everyday,부사,A,koen,,,,
1786,매일,everyday,명사,A,koen,,,,
1787,매장,burial,명사,C,koen,,,,
1788,매주,each week,부사,C,koen,,,,
1789,매체,media,명사,C,koen,,,,
1790,맥주,beer,명사,A,koen,,,,
1791,맨,Man,관형사,B,koen,,,,
1792,맵다,Spicy,형용사,A,koen,,,,
1793,맺다,form,동사,C,koen,,,,
1794,머리,head,명사,A,koen,,,,
1795,머리말,preface,명사,C,koen,,,,
1796,머리카락,hair,명사,B,koen,,,,
1797,머리칼,hair,명사,C,koen,,,,
1798,머릿속,In my head,명사,B,koen,,,,
1799,머무르다,stay,동사,B,koen,,,,
1800,머물다,abide,동사,C,koen,,,,
1801,먹고살다,Eat and live,동사,C,koen,,,,
1802,먹다,eat,동사,C,koen,,,,
1803,먹다,eat,보조 용언,A,koen,,,,
1804,먹다,eat,동사,A,koen,,,,
1805,먹이,prey,명사,C,koen,,,,
1806,먹이다,batten,동사,B,koen,,,,
1807,먹히다,Eat,동사,B,koen,,,,
1808,먼저,first,부사,A,koen,,,,
1809,먼지,dust,명사,B,koen,,,,
1810,멀다,be far,형용사,A,koen,,,,
1811,멀리,far,부사,B,koen,,,,
1812,멀어지다,Move away,동사,B,koen,,,,
1813,멈추다,halt,동사,B,koen,,,,
1814,멋,taste,명사,B,koen,,,,
1815,멋있다,stylish,형용사,B,koen,,,,
1816,멋지다,awesome,형용사,C,koen,,,,
1817,멍멍,Woof woof,부사,C,koen,,,,
1818,멎다,stop,동사,C,koen,,,,
1819,메뉴,menu,명사,A,koen,,,,
1820,메다,Meda,동사,B,koen,,,,
1821,메모,memo,명사,B,koen,,,,
1822,메시지,message,명사,B,koen,,,,
1823,메우다,fill up,동사,C,koen,,,,
1824,메일,mail,명사,B,koen,,,,
1825,며느리,daughter-in-law,명사,B,koen,,,,
1826,며칠,A few days,명사,A,koen,,,,
1827,면,noodle,명사,C,koen,,,,
1828,면,noodle,명사,C,koen,,,,
1829,면,noodle,명사,C,koen,,,,
1830,면담,Interview,명사,C,koen,,,,
1831,면적,area,명사,C,koen,,,,
1832,면접,Interview,명사,C,koen,,,,
1833,면하다,Avoid,동사,C,koen,,,,
1834,멸치,anchovy,명사,C,koen,,,,
1835,명,number of people,의존 명사,A,koen,,,,
1836,명단,list,명사,C,koen,,,,
1837,명령,command,명사,B,koen,,,,
1838,명령어,Command,명사,C,koen,,,,
1839,명예,honor,명사,C,koen,,,,
1840,명의,name,명사,C,koen,,,,
1841,명절,Holidays,명사,B,koen,,,,
1842,명칭,designation,명사,C,koen,,,,
1843,명함,business card,명사,B,koen,,,,
1844,명확하다,It's clear,형용사,C,koen,,,,
1845,몇,some,수사,A,koen,,,,
1846,몇,some,관형사,A,koen,,,,
1847,몇몇,Some,관형사,B,koen,,,,
1848,몇십,A few dozen,관형사,B,koen,,,,
1849,모,what,관형사,C,koen,,,,
1850,모,what,대명사,C,koen,,,,
1851,모금,Fundraising,의존 명사,C,koen,,,,
1852,모기,mosquito,명사,B,koen,,,,
1853,모니터,monitor,명사,B,koen,,,,
1854,모델,model,명사,B,koen,,,,
1855,모두,every,명사,A,koen,,,,
1856,모두,every,부사,A,koen,,,,
1857,모든,every,관형사,A,koen,,,,
1858,모래,sand,명사,B,koen,,,,
1859,모레,day after tomorrow,명사,B,koen,,,,
1860,모르다,don't know,동사,A,koen,,,,
1861,모범,example,명사,C,koen,,,,
1862,모색하다,seek,동사,C,koen,,,,
1863,모습,figure,명사,B,koen,,,,
1864,모시다,deify,동사,B,koen,,,,
1865,모양,shape,명사,B,koen,,,,
1866,모양,shape,의존 명사,B,koen,,,,
1867,모여들다,Gather,동사,C,koen,,,,
1868,모으다,collect,동사,B,koen,,,,
1869,모이다,converge,동사,B,koen,,,,
1870,모임,class,명사,B,koen,,,,
1871,모자,hat,명사,A,koen,,,,
1872,모자라다,fall short of,동사,B,koen,,,,
1873,모조리,all,부사,C,koen,,,,
1874,모집,Recruitment,명사,C,koen,,,,
1875,모집하다,Recruit,동사,C,koen,,,,
1876,모처럼,For once,부사,C,koen,,,,
1877,모퉁이,corner,명사,C,koen,,,,
1878,목,neck,명사,A,koen,,,,
1879,목걸이,necklace,명사,B,koen,,,,
1880,목록,inventory,명사,C,koen,,,,
1881,목사,minister,명사,B,koen,,,,
1882,목소리,voice,명사,B,koen,,,,
1883,목숨,life,명사,C,koen,,,,
1884,목요일,thursday,명사,A,koen,,,,
1885,목욕,bath,명사,A,koen,,,,
1886,목욕탕,baths,명사,B,koen,,,,
1887,목적,purpose,명사,B,koen,,,,
1888,목표,target,명사,B,koen,,,,
1889,몰다,drive,동사,B,koen,,,,
1890,몰래,stealthily,부사,B,koen,,,,
1891,몰려들다,flock,동사,C,koen,,,,
1892,몰려오다,flock,동사,C,koen,,,,
1893,몸,body,명사,A,koen,,,,
1894,몸매,body,명사,C,koen,,,,
1895,몸무게,Weight,명사,B,koen,,,,
1896,몸살,body aches,명사,B,koen,,,,
1897,몸속,Inside the body,명사,C,koen,,,,
1898,몸짓,gesture,명사,C,koen,,,,
1899,몸통,body,명사,C,koen,,,,
1900,몹시,heavily,부사,B,koen,,,,
1901,못,pond,명사,C,koen,,,,
1902,못,pond,부사,A,koen,,,,
1903,못되다,Bad,형용사,C,koen,,,,
1904,못생기다,ugly,형용사,C,koen,,,,
1905,못지않다,No less,형용사,C,koen,,,,
1906,못하다,Can't do it,동사,A,koen,,,,
1907,못하다,Can't do it,형용사,A,koen,,,,
1908,못하다,Can't do it,보조 용언,A,koen,,,,
1909,묘사,depiction,명사,C,koen,,,,
1910,묘사하다,describe,동사,C,koen,,,,
1911,무,radish,명사,B,koen,,,,
1912,무,radish,명사,C,koen,,,,
1913,무겁다,be heavy,형용사,A,koen,,,,
1914,무게,weight,명사,B,koen,,,,
1915,무관심,indifference,명사,C,koen,,,,
1916,무관심하다,Indifferent,형용사,C,koen,,,,
1917,무궁화,Rose of Sharon,명사,C,koen,,,,
1918,무기,weapon,명사,C,koen,,,,
1919,무너지다,collapse,동사,C,koen,,,,
1920,무늬,pattern,명사,B,koen,,,,
1921,무대,stage,명사,C,koen,,,,
1922,무더위,swelter,명사,B,koen,,,,
1923,무덤,tomb,명사,C,koen,,,,
1924,무덥다,It's hot,형용사,C,koen,,,,
1925,무려,Wow,부사,C,koen,,,,
1926,무렵,Around that time,의존 명사,B,koen,,,,
1927,무료,free,명사,C,koen,,,,
1928,무릎,knee,명사,B,koen,,,,
1929,무리,company,명사,C,koen,,,,
1930,무리,company,명사,C,koen,,,,
1931,무리하다,It's too much,형용사,C,koen,,,,
1932,무사하다,Safe,형용사,C,koen,,,,
1933,무섭다,scary,형용사,B,koen,,,,
1934,무슨,what,관형사,A,koen,,,,
1935,무시하다,ignore,동사,B,koen,,,,
1936,무어,moore,대명사,B,koen,,,,
1937,무엇,what,대명사,A,koen,,,,
1938,무역,trade,명사,B,koen,,,,
1939,무용,dancing,명사,B,koen,,,,
1940,무용가,dancer,명사,C,koen,,,,
1941,무의미하다,It's meaningless,형용사,C,koen,,,,
1942,무조건,Unconditionally,부사,B,koen,,,,
1943,무지개,rainbow,명사,C,koen,,,,
1944,무책임하다,Irresponsible,형용사,C,koen,,,,
1945,무척,Very much,부사,B,koen,,,,
1946,묵다,lodge,동사,C,koen,,,,
1947,묵다,lodge,동사,C,koen,,,,
1948,묶다,sheave,동사,B,koen,,,,
1949,묶이다,knot,동사,C,koen,,,,
1950,문,door,명사,A,koen,,,,
1951,문구,Stationery,명사,C,koen,,,,
1952,문득,Suddenly,부사,C,koen,,,,
1953,문밖,Outside the door,명사,C,koen,,,,
1954,문법,grammar,명사,C,koen,,,,
1955,문서,document,명사,C,koen,,,,
1956,문자,message,명사,C,koen,,,,
1957,문장,sentence,명사,B,koen,,,,
1958,문제,problem,명사,A,koen,,,,
1959,문제되다,Become a problem,동사,C,koen,,,,
1960,문제점,Problem,명사,B,koen,,,,
1961,문학,literature,명사,B,koen,,,,
1962,문학적,literary,명사,C,koen,,,,
1963,문화,culture,명사,B,koen,,,,
1964,문화재,cultural assets,명사,C,koen,,,,
1965,문화적,classic,명사,C,koen,,,,
1966,묻다,ask,동사,B,koen,,,,
1967,묻다,ask,동사,C,koen,,,,
1968,묻다,ask,동사,A,koen,,,,
1969,묻히다,smear,동사,C,koen,,,,
1970,묻히다,smear,동사,C,koen,,,,
1971,물,water,명사,A,koen,,,,
1972,물가,price,명사,C,koen,,,,
1973,물건,thing,명사,A,koen,,,,
1974,물결,wave,명사,C,koen,,,,
1975,물고기,fish,명사,B,koen,,,,
1976,물기,Moisture,명사,C,koen,,,,
1977,물다,bite,동사,B,koen,,,,
1978,물러나다,Step back,동사,C,koen,,,,
1979,물론,of course,부사,A,koen,,,,
1980,물론,of course,명사,B,koen,,,,
1981,물리학,physics,명사,C,koen,,,,
1982,물속,Under water,명사,B,koen,,,,
1983,물어보다,Ask,동사,A,koen,,,,
1984,물음,question,명사,B,koen,,,,
1985,물질,substance,명사,C,koen,,,,
1986,물질적,Material,명사,C,koen,,,,
1987,물체,object,명사,C,koen,,,,
1988,뭐,what,대명사,A,koen,,,,
1989,뭐,what,감탄사,A,koen,,,,
1990,뭘,what,감탄사,C,koen,,,,
1991,뭣,What,대명사,C,koen,,,,
1992,미,mi,명사,C,koen,,,,
1993,미국,USA,고유 명사,A,koen,,,,
1994,미끄러지다,slip,동사,C,koen,,,,
1995,미끄럽다,Slippery,형용사,C,koen,,,,
1996,미니,mini,명사,C,koen,,,,
1997,미디어,Media,명사,B,koen,,,,
1998,미래,future,명사,B,koen,,,,
1999,미루다,delay,동사,C,koen,,,,
2000,미리,beforehand,부사,B,koen,,,,
2001,미만,under,명사,C,koen,,,,
2002,미사일,missile,명사,C,koen,,,,
2003,미소,smile,명사,B,koen,,,,
2004,미술,art,명사,B,koen,,,,
2005,미술관,art gallery,명사,B,koen,,,,
2006,미스,miss,명사,C,koen,,,,
2007,미안하다,sorry,형용사,A,koen,,,,
2008,미역,brown seaweed,명사,C,koen,,,,
2009,미용실,beauty salon,명사,C,koen,,,,
2010,미움,hate,명사,C,koen,,,,
2011,미워하다,hate,동사,B,koen,,,,
2012,미인,beauty,명사,B,koen,,,,
2013,미처,Not yet,부사,C,koen,,,,
2014,미치다,reach,동사,B,koen,,,,
2015,미치다,reach,동사,B,koen,,,,
2016,미터,meter,의존 명사,A,koen,,,,
2017,미팅,meeting,명사,B,koen,,,,
2018,미혼,single,명사,C,koen,,,,
2019,민간,civilian,명사,C,koen,,,,
2020,민속,folklore,명사,C,koen,,,,
2021,민족,nation,명사,B,koen,,,,
2022,민주,Democracy,명사,C,koen,,,,
2023,민주주의,democracy,명사,C,koen,,,,
2024,민주화,democratization,명사,C,koen,,,,
2025,믿다,trust,동사,B,koen,,,,
2026,믿어지다,Believe it,동사,C,koen,,,,
2027,믿음,trust,명사,B,koen,,,,
2028,밀가루,flour,명사,B,koen,,,,
2029,밀다,jostle,동사,B,koen,,,,
2030,밀리다,be left undone,동사,C,koen,,,,
2031,밀리미터,millimeter,의존 명사,B,koen,,,,
2032,밀접하다,Close,형용사,C,koen,,,,
2033,밉다,I hate it,형용사,B,koen,,,,
2034,및,and,부사,B,koen,,,,
2035,밑,bottom,명사,A,koen,,,,
2036,밑바닥,bottom,명사,C,koen,,,,
2037,바,bar,의존 명사,C,koen,,,,
2038,바,bar,명사,C,koen,,,,
2039,바가지,Bowl,명사,C,koen,,,,
2040,바구니,basket,명사,C,koen,,,,
2041,바깥,outside,명사,B,koen,,,,
2042,바깥쪽,Outside,명사,C,koen,,,,
2043,바꾸다,change,동사,A,koen,,,,
2044,바뀌다,veer,동사,B,koen,,,,
2045,바나나,banana,명사,A,koen,,,,
2046,바늘,needle,명사,B,koen,,,,
2047,바다,ocean,명사,A,koen,,,,
2048,바닥,floor,명사,B,koen,,,,
2049,바닷가,beach,명사,B,koen,,,,
2050,바닷물,sea water,명사,B,koen,,,,
2051,바라다,hope,동사,B,koen,,,,
2052,바라보다,Look at,동사,B,koen,,,,
2053,바람,wind,의존 명사,A,koen,,,,
2054,바람,wind,명사,A,koen,,,,
2055,바람,wind,명사,C,koen,,,,
2056,바람직하다,It is desirable,형용사,C,koen,,,,
2057,바로,as soon as,부사,A,koen,,,,
2058,바로잡다,Correct,동사,C,koen,,,,
2059,바르다,right,동사,B,koen,,,,
2060,바르다,right,형용사,B,koen,,,,
2061,바보,fool,명사,B,koen,,,,
2062,바쁘다,busy,형용사,A,koen,,,,
2063,바싹,Crisp,부사,C,koen,,,,
2064,바위,rock,명사,B,koen,,,,
2065,바이러스,virus,명사,C,koen,,,,
2066,바이올린,violin,명사,B,koen,,,,
2067,바지,pants,명사,A,koen,,,,
2068,바치다,devote,동사,C,koen,,,,
2069,바퀴,wheel,명사,C,koen,,,,
2070,바퀴,wheel,의존 명사,C,koen,,,,
2071,바탕,background,명사,C,koen,,,,
2072,박,Gourd,의존 명사,C,koen,,,,
2073,박다,drive,동사,C,koen,,,,
2074,박물관,museum,명사,A,koen,,,,
2075,박사,doctor,명사,B,koen,,,,
2076,박수,clap,명사,B,koen,,,,
2077,박스,box,명사,B,koen,,,,
2078,박히다,enter,동사,C,koen,,,,
2079,밖,Outside,명사,A,koen,,,,
2080,반,half,명사,A,koen,,,,
2081,반,half,명사,A,koen,,,,
2082,반갑다,Nice to meet you,형용사,A,koen,,,,
2083,반기다,Welcome,동사,C,koen,,,,
2084,반대,the opposite,명사,B,koen,,,,
2085,반대편,Opposite side,명사,C,koen,,,,
2086,반대하다,Oppose,동사,B,koen,,,,
2087,반드시,certainly,부사,B,koen,,,,
2088,반말,informal speech,명사,C,koen,,,,
2089,반면,the other side,명사,C,koen,,,,
2090,반발,repulsion,명사,C,koen,,,,
2091,반복되다,Repeat,동사,C,koen,,,,
2092,반복하다,Repeat,동사,B,koen,,,,
2093,반성,reflection,명사,C,koen,,,,
2094,반성하다,Reflect,동사,C,koen,,,,
2095,반영하다,reflect,동사,C,koen,,,,
2096,반응,reaction,명사,C,koen,,,,
2097,반장,class monitor,명사,B,koen,,,,
2098,반죽,kneading,명사,C,koen,,,,
2099,반지,ring,명사,B,koen,,,,
2100,반짝거리다,sparkle,동사,C,koen,,,,
2101,반짝이다,Shine,동사,C,koen,,,,
2102,반찬,side dish,명사,B,koen,,,,
2103,반하다,Fall in love,동사,B,koen,,,,
2104,받다,receive,동사,A,koen,,,,
2105,받아들이다,Accept,동사,B,koen,,,,
2106,받침,support,명사,B,koen,,,,
2107,발,foot,명사,A,koen,,,,
2108,발가락,toe,명사,B,koen,,,,
2109,발걸음,footfall,명사,C,koen,,,,
2110,발견,find,명사,B,koen,,,,
2111,발견되다,be discovered,동사,B,koen,,,,
2112,발견하다,Discover,동사,B,koen,,,,
2113,발길,Footsteps,명사,C,koen,,,,
2114,발끝,tiptoe,명사,C,koen,,,,
2115,발달,development,명사,B,koen,,,,
2116,발달되다,Be developed,동사,C,koen,,,,
2117,발달하다,develop,동사,B,koen,,,,
2118,발등,instep of a foot,명사,B,koen,,,,
2119,발레,ballet,명사,C,koen,,,,
2120,발목,ankle,명사,B,koen,,,,
2121,발바닥,sole of the foot,명사,C,koen,,,,
2122,발생,generation,명사,B,koen,,,,
2123,발생하다,Occur,동사,B,koen,,,,
2124,발음,pronunciation,명사,A,koen,,,,
2125,발음하다,Pronounce,동사,B,koen,,,,
2126,발자국,footprint,명사,C,koen,,,,
2127,발전,Development,명사,B,koen,,,,
2128,발전,Development,명사,C,koen,,,,
2129,발전되다,Develop,동사,C,koen,,,,
2130,발전하다,develop,동사,B,koen,,,,
2131,발톱,toenail,명사,C,koen,,,,
2132,발표,presentation,명사,B,koen,,,,
2133,발표되다,be announced,동사,C,koen,,,,
2134,발표하다,announce,동사,B,koen,,,,
2135,발휘하다,exert,동사,C,koen,,,,
2136,밝다,Bright,동사,B,koen,,,,
2137,밝다,Bright,형용사,A,koen,,,,
2138,밝아지다,Brighten up,동사,C,koen,,,,
2139,밝혀내다,Find out,동사,C,koen,,,,
2140,밝혀지다,Be revealed,동사,C,koen,,,,
2141,밝히다,define,동사,B,koen,,,,
2142,밟다,tread,동사,B,koen,,,,
2143,밤,night,명사,A,koen,,,,
2144,밤,night,명사,B,koen,,,,
2145,밤낮,night and day,명사,B,koen,,,,
2146,밤늦다,It's late at night,형용사,B,koen,,,,
2147,밤새,overnight,명사,C,koen,,,,
2148,밤새다,Stay up all night,동사,B,koen,,,,
2149,밤새우다,Stay up all night,동사,C,koen,,,,
2150,밤색,brown,명사,C,koen,,,,
2151,밤중,Midnight,명사,B,koen,,,,
2152,밤하늘,night sky,명사,C,koen,,,,
2153,밥,rice,명사,A,koen,,,,
2154,밥그릇,rice bowl,명사,B,koen,,,,
2155,밥맛,Taste of rice,명사,B,koen,,,,
2156,밥상,dining table,명사,C,koen,,,,
2157,밥솥,rice cooker,명사,B,koen,,,,
2158,방,room,명사,A,koen,,,,
2159,방금,just now,부사,B,koen,,,,
2160,방면,direction,명사,C,koen,,,,
2161,방문,visit,명사,B,koen,,,,
2162,방문,visit,명사,B,koen,,,,
2163,방문하다,visit,동사,B,koen,,,,
2164,방바닥,floor,명사,C,koen,,,,
2165,방법,method,명사,B,koen,,,,
2166,방송,broadcast,명사,B,koen,,,,
2167,방송국,broadcasting station,명사,B,koen,,,,
2168,방송사,broadcasting station,명사,C,koen,,,,
2169,방송하다,broadcast,동사,C,koen,,,,
2170,방식,method,명사,C,koen,,,,
2171,방안,room,명사,C,koen,,,,
2172,방울,drop,명사,C,koen,,,,
2173,방울,drop,명사,C,koen,,,,
2174,방지,prevention,명사,C,koen,,,,
2175,방지하다,Prevent,동사,C,koen,,,,
